CommissionID,SaleID,AgentName,Rate,Amount
CM0521,SA0521,Edward Myers,1.24,93.31
CM0522,SA0522,Derrick Curtis,2.31,13.39
CM0523,SA0523,Wayne Smith,6.72,253.66
CM0524,SA0524,Ashlee Morris,6.22,748.53
CM0525,SA0525,Charles Santos,2.7,81.22
CM0526,SA0526,Craig Gonzalez,7.28,571.35
CM0527,SA0527,Michele George,1.36,64.49
CM0528,SA0528,Kristi Wilkins,1.38,135.39
CM0529,SA0529,Scott Rice,7.86,248.81
CM0530,SA0530,Mario Gonzalez,9.25,1009.27
CM0531,SA0531,Kimberly Ballard,6.93,139.95
CM0532,SA0532,Jennifer Garcia,7.17,1025.35
CM0533,SA0533,Ryan Hernandez,7.83,635.18
CM0534,SA0534,Brandon Durham,6.52,1509.41
CM0535,SA0535,Deborah Simpson,2.44,453.13
CM0536,SA0536,Sandra Finley,6.77,1269.31
CM0537,SA0537,Marisa Kelly,2.15,221.34
CM0538,SA0538,Nancy Potter,8.45,2010.11
CM0539,SA0539,Ebony Pacheco,2.31,460.61
CM0540,SA0540,Diane Doyle,8.89,964.29
CM0541,SA0541,Alexis Mcdaniel,7.9,1679.48
CM0542,SA0542,Aaron Moss,1.35,151.93
CM0543,SA0543,Sierra Williams,5.65,357.23
CM0544,SA0544,Julie Lambert,8.24,1976.68
CM0545,SA0545,Alison Mills,1.47,328.4
CM0546,SA0546,William Reyes,8.38,303.51
CM0547,SA0547,Rodney Baker,9.45,695.18
CM0548,SA0548,Daniel Caldwell,5.65,502.68
CM0549,SA0549,Richard Hernandez,1.38,292.12
CM0550,SA0550,Daniel Cummings,9.65,300.55
CM0551,SA0551,Kevin Lane,7.6,1424.86
CM0552,SA0552,Bernard Whitaker,7.42,1557.74
CM0553,SA0553,Ryan Wolf,6.47,1649.54
CM0554,SA0554,Joshua Gutierrez,9.58,2359.83
CM0555,SA0555,Mark Ferguson,7.37,2017.87
CM0556,SA0556,Angela Martin,9.96,2331.62
CM0557,SA0557,Brandon Chavez,4.95,461.0
CM0558,SA0558,Robert Bush,9.01,1426.99
CM0559,SA0559,Charles Johnson,9.91,611.49
CM0560,SA0560,Susan Ramsey,9.31,2073.67
CM0561,SA0561,Zachary Hunt,3.45,805.99
CM0562,SA0562,Gary Davis,2.32,172.48
CM0563,SA0563,Alex Martinez,4.45,483.94
CM0564,SA0564,Donna Hamilton,3.4,189.98
CM0565,SA0565,Martha Taylor,2.07,104.18
CM0566,SA0566,Kristina Bishop,2.5,188.65
CM0567,SA0567,Sandra King,1.38,31.83
CM0568,SA0568,Jessica Brooks,4.8,870.68
CM0569,SA0569,Nicole Park,8.55,102.24
CM0570,SA0570,Maria Rodriguez,8.6,319.59
CM0571,SA0571,Charles Villegas,4.9,774.96
CM0572,SA0572,Amy Smith,9.52,676.81
CM0573,SA0573,Chelsea Robertson,8.16,800.78
CM0574,SA0574,Joshua Guerrero,9.36,2346.38
CM0575,SA0575,John Shelton,9.68,378.02
CM0576,SA0576,Mark Richmond,9.11,220.57
CM0577,SA0577,Donna Spencer,6.81,167.12
CM0578,SA0578,Johnny Washington,6.81,1673.38
CM0579,SA0579,Jaime Bauer,5.62,360.14
CM0580,SA0580,Deborah Wells,5.64,517.84
CM0581,SA0581,Melanie Reed,5.61,1698.62
CM0582,SA0582,Mary Morgan,8.91,869.88
CM0583,SA0583,Pamela Armstrong,3.65,474.17
CM0584,SA0584,Bobby Lopez,8.86,2385.39
CM0585,SA0585,Dr. Jasmine Bell,1.54,388.06
CM0586,SA0586,Hailey Duncan,5.28,772.43
CM0587,SA0587,Melinda Dominguez,4.73,39.75
CM0588,SA0588,David Miller,4.69,226.56
CM0589,SA0589,Glenda Hale,8.23,548.7
CM0590,SA0590,Jon Nguyen,4.81,209.32
CM0591,SA0591,Mitchell Martin,9.31,2028.15
CM0592,SA0592,Laura Williams,4.05,721.49
CM0593,SA0593,Kimberly Scott,5.53,102.38
CM0594,SA0594,Felicia Suarez,6.31,193.74
CM0595,SA0595,Jamie Cohen,4.41,355.12
CM0596,SA0596,Melanie Lynch,4.17,610.02
CM0597,SA0597,Edward Cruz,2.18,81.38
CM0598,SA0598,Albert Hester,2.15,405.85
CM0599,SA0599,Robin Nichols,3.85,351.3
CM0600,SA0600,Mary Sims,9.07,849.03
CM0601,SA0601,Amy Gilbert,9.83,1342.09
CM0602,SA0602,Kayla Horton,4.04,124.56
CM0603,SA0603,Anthony Jones,9.03,1063.2
CM0604,SA0604,Gregory Mcdaniel,5.62,488.03
CM0605,SA0605,Barbara Wright,9.19,370.87
CM0606,SA0606,Heather Moore,8.44,2068.57
CM0607,SA0607,Robert Barry,2.87,299.91
CM0608,SA0608,Michael Vaughn,4.16,180.17
CM0609,SA0609,Amy Wallace,3.51,819.11
CM0610,SA0610,Keith Stephens,1.25,326.01
CM0611,SA0611,Brandon Lane,3.38,250.01
CM0612,SA0612,Shannon Parks,6.24,22.11
CM0613,SA0613,Ariel Lambert,6.97,1956.73
CM0614,SA0614,Ricky Gonzalez,3.62,740.79
CM0615,SA0615,Lindsey Davis,6.65,496.58
CM0616,SA0616,Ashley Zimmerman,7.8,956.86
CM0617,SA0617,James Miller,8.53,2060.01
CM0618,SA0618,Joseph Moreno,6.89,1143.87
CM0619,SA0619,Mrs. Anne Miller MD,7.15,1404.9
CM0620,SA0620,Jacob Mitchell,5.15,801.34
CM0621,SA0621,Dawn Lee,4.62,424.76
CM0622,SA0622,Michelle Little,4.73,915.39
CM0623,SA0623,Ashley Barton,5.82,81.67
CM0624,SA0624,Kristina Russo,1.9,318.66
CM0625,SA0625,Elizabeth Baker,5.07,1352.93
CM0626,SA0626,Teresa Taylor,1.8,9.76
CM0627,SA0627,Nicole Perez,2.37,207.87
CM0628,SA0628,Charles Rivera,1.57,248.16
CM0629,SA0629,James Chang,4.05,1000.4
CM0630,SA0630,Roy Gutierrez,2.72,109.9
CM0631,SA0631,Anthony Newman,7.18,1078.83
CM0632,SA0632,Brandon Hughes,7.46,954.31
CM0633,SA0633,Mr. Paul Ryan,5.68,715.43
CM0634,SA0634,Keith Sanchez,9.51,944.79
CM0635,SA0635,James Blanchard,1.45,139.58
CM0636,SA0636,Shirley Williams,5.68,1379.78
CM0637,SA0637,Michael Williams,7.31,888.36
CM0638,SA0638,Yvette Brown,9.35,1405.6
CM0639,SA0639,Taylor Gross,9.62,858.99
CM0640,SA0640,Morgan Rodriguez,4.98,248.23
CM0641,SA0641,Thomas Kane,7.78,103.15
CM0642,SA0642,Anna Larson,9.38,640.51
CM0643,SA0643,Calvin Jordan,1.72,130.63
CM0644,SA0644,Caitlyn Porter,7.0,93.08
CM0645,SA0645,Linda Walker,4.06,729.68
CM0646,SA0646,Mary Mills,7.8,1063.54
CM0647,SA0647,Leslie James,6.84,900.18
CM0648,SA0648,Tracey Dean,7.52,1489.51
CM0649,SA0649,Mark Pham,6.86,424.46
CM0650,SA0650,Jesse Mccoy,2.53,42.23
CM0651,SA0651,Sandra Myers,7.91,2303.85
CM0652,SA0652,Robert Morales,9.18,1195.09
CM0653,SA0653,Michael Lopez,6.12,105.23
CM0654,SA0654,John Kennedy,1.94,285.0
CM0655,SA0655,Brittany Ellis,1.57,178.84
CM0656,SA0656,Carrie Wood,2.03,295.86
CM0657,SA0657,Amanda Payne,5.76,510.24
CM0658,SA0658,Anthony Johnson,2.74,329.52
CM0659,SA0659,Andrew Martinez,3.49,113.72
CM0660,SA0660,Monica Myers,2.02,45.48
CM0661,SA0661,Sherry Harrison,6.93,1059.49
CM0662,SA0662,Angela Herrera,6.02,1553.56
CM0663,SA0663,Daniel Hall,8.14,583.53
CM0664,SA0664,Caleb Cervantes,8.12,1809.92
CM0665,SA0665,Amy Ferguson,2.73,367.83
CM0666,SA0666,Jean Pugh,2.42,150.55
CM0667,SA0667,Daniel Sanchez,4.11,767.78
CM0668,SA0668,Jose Casey,4.12,209.13
CM0669,SA0669,Benjamin Moore,3.13,394.4
CM0670,SA0670,Andrew Dickerson,4.93,50.68
CM0671,SA0671,Brett Sullivan DVM,5.74,45.29
CM0672,SA0672,Nicole Bell,5.8,761.27
CM0673,SA0673,Mary Shepherd,7.7,307.21
CM0674,SA0674,James Davis,3.11,441.94
CM0675,SA0675,Randall Robertson,7.56,1272.9
CM0676,SA0676,Kristin Padilla,3.01,613.25
CM0677,SA0677,Kendra Gardner,4.13,272.5
CM0678,SA0678,Scott Anderson,3.95,381.14
CM0679,SA0679,Joseph Mays,7.47,355.94
CM0680,SA0680,Dr. Nicholas Garcia,5.03,458.45
CM0681,SA0681,Jason Garner,5.44,79.88
CM0682,SA0682,Matthew Jimenez,4.26,881.99
CM0683,SA0683,James Parker,2.81,49.88
CM0684,SA0684,Robert Rush,9.26,66.67
CM0685,SA0685,Michael Murphy,3.87,384.26
CM0686,SA0686,Natasha Griffin,1.13,12.4
CM0687,SA0687,Laura Martin,2.63,211.55
CM0688,SA0688,Matthew Carroll,9.02,2141.3
CM0689,SA0689,Bradley Bray,2.21,178.42
CM0690,SA0690,Mr. Charles Jenkins Jr.,2.21,139.32
CM0691,SA0691,John Delacruz,6.91,692.66
CM0692,SA0692,Lori Hammond,8.17,1021.15
CM0693,SA0693,Gregory Ross,4.15,147.19
CM0694,SA0694,Donna Mcguire,4.27,333.72
CM0695,SA0695,James Blair,5.63,565.06
CM0696,SA0696,Ashley Vasquez,2.35,467.67
CM0697,SA0697,Carolyn Smith,5.07,531.9
CM0698,SA0698,Heather Ortiz,9.62,1048.51
CM0699,SA0699,Rebecca Lopez,2.65,301.34
CM0700,SA0700,Theresa Mitchell,6.53,109.25
CM0701,SA0701,Keith Powers,4.03,67.53
CM0702,SA0702,Emily Christensen,1.58,137.43
CM0703,SA0703,Nicole Meyer,6.28,678.23
CM0704,SA0704,Mark Bailey,7.18,607.69
CM0705,SA0705,Caroline Mcpherson,6.65,851.21
CM0706,SA0706,Christine Robinson,9.43,1859.64
CM0707,SA0707,Robert Walsh,3.87,862.81
CM0708,SA0708,Martin Payne,6.61,30.89
CM0709,SA0709,Nicole Wood,7.41,1009.36
CM0710,SA0710,Aaron Pena,5.28,1634.39
CM0711,SA0711,Brandon Ruiz,2.94,407.87
CM0712,SA0712,Brian Ortega,1.13,117.07
CM0713,SA0713,Steven Horton DVM,8.56,2182.51
CM0714,SA0714,Paula Burton DDS,7.9,570.04
CM0715,SA0715,Brandy Cruz,2.21,569.79
CM0716,SA0716,Kathryn James,1.57,256.8
CM0717,SA0717,Sabrina Hicks,3.45,616.98
CM0718,SA0718,Ethan Chapman,7.27,364.83
CM0719,SA0719,Shawn Olson,8.52,628.48
CM0720,SA0720,Madison Madden,2.25,567.21
CM0721,SA0721,Raymond West,9.07,533.35
CM0722,SA0722,Lisa Conley,2.09,234.66
CM0723,SA0723,Lisa Nash,7.05,564.35
CM0724,SA0724,Scott Dougherty,6.68,1201.34
CM0725,SA0725,Joseph Long,3.18,833.89
CM0726,SA0726,Tracy Parker,2.17,305.65
CM0727,SA0727,Joshua Moses,3.52,519.82
CM0728,SA0728,Marie Wilson,2.02,570.13
CM0729,SA0729,Kathryn Young,3.65,772.05
CM0730,SA0730,William Greene,3.01,464.34
CM0731,SA0731,Dakota Flores,1.32,125.14
CM0732,SA0732,Ryan Thompson,9.91,886.86
CM0733,SA0733,Ethan Neal,6.49,1428.04
CM0734,SA0734,Thomas Clarke,7.36,378.83
CM0735,SA0735,Joanna Butler,3.96,543.79
CM0736,SA0736,Michelle Parker,8.04,1313.69
CM0737,SA0737,Benjamin Christensen,4.12,617.45
CM0738,SA0738,Rachel Torres,4.64,180.9
CM0739,SA0739,Jillian Kelly,7.09,1051.37
CM0740,SA0740,Brian Davis,6.39,203.88
CM0741,SA0741,Megan Morgan,2.04,174.81
CM0742,SA0742,Jody White,6.4,1344.69
CM0743,SA0743,Catherine Gallagher,6.22,1178.96
CM0744,SA0744,Corey Carson,3.65,600.54
CM0745,SA0745,Andre Clark,7.32,1604.97
CM0746,SA0746,Tyler Sutton,9.0,496.16
CM0747,SA0747,Matthew Lambert,8.28,308.22
CM0748,SA0748,Joanne Bright,9.8,1402.52
CM0749,SA0749,Kathryn Lopez,8.84,1689.29
CM0750,SA0750,Joshua Bauer,1.62,220.05
CM0751,SA0751,Rachel Elliott,4.81,1088.0
CM0752,SA0752,Matthew Webb,3.24,329.36
CM0753,SA0753,Kyle Bennett,5.03,38.35
CM0754,SA0754,Xavier Nelson,5.97,56.86
CM0755,SA0755,Maria Webb,2.28,695.29
CM0756,SA0756,Dr. Deborah Richardson,1.64,125.4
CM0757,SA0757,Carlos Davis,5.26,1625.46
CM0758,SA0758,Jeremy Johnson,2.95,30.71
CM0759,SA0759,Brooke Green,4.52,188.36
CM0760,SA0760,Noah Lopez,9.61,2524.49
CM0761,SA0761,Andrew Jackson,9.51,1490.2
CM0762,SA0762,Michelle Butler,1.64,136.12
CM0763,SA0763,Trevor Kerr,2.55,188.05
CM0764,SA0764,Shannon Hill,7.04,2189.61
CM0765,SA0765,Molly Armstrong,5.46,560.1
CM0766,SA0766,Kendra Hernandez,7.95,1088.59
CM0767,SA0767,Catherine Gregory,3.58,283.71
CM0768,SA0768,Steven Bowman,4.54,380.18
CM0769,SA0769,Suzanne Rodriguez,9.93,205.05
CM0770,SA0770,Henry Ford,3.55,133.16
CM0771,SA0771,Zachary Watts,4.55,108.8
CM0772,SA0772,Cory Hunt,2.59,539.14
CM0773,SA0773,Brandon Flores,3.36,717.54
CM0774,SA0774,Charles Yates,9.57,2107.09
CM0775,SA0775,Michael Ortiz,2.98,767.72
CM0776,SA0776,Cody White,4.31,1011.99
CM0777,SA0777,Samuel Anthony,4.73,29.0
CM0778,SA0778,Rachael Barton,7.01,53.7
CM0779,SA0779,Jade Dunn,6.9,77.15
CM0780,SA0780,Patrick Morrison,8.17,1394.99
CM0781,SA0781,Alison Smith,2.42,424.45
CM0782,SA0782,Joseph Henson,9.95,766.47
CM0783,SA0783,Angela Ferguson,5.86,414.32
CM0784,SA0784,Anthony Kim,9.27,166.2
CM0785,SA0785,Grace Davila,6.29,402.75
CM0786,SA0786,Sharon Cruz,2.28,195.25
CM0787,SA0787,Stephanie Foster,1.75,163.92
CM0788,SA0788,Mary Stewart,1.86,56.17
CM0789,SA0789,Julie Ross,8.03,1911.96
CM0790,SA0790,Jack Kennedy,2.49,113.41
CM0791,SA0791,Megan Daniel,5.38,414.45
CM0792,SA0792,Paul Tucker,4.87,75.99
CM0793,SA0793,Karen Mccoy,1.86,84.34
CM0794,SA0794,Tracy Morrison,5.11,476.58
CM0795,SA0795,Benjamin Jones,5.53,919.87
CM0796,SA0796,Kellie Bass,9.7,882.89
CM0797,SA0797,Yvonne Moore,5.18,1326.07
CM0798,SA0798,David Ortiz,7.54,1751.93
CM0799,SA0799,Andrea Pena,3.64,930.06
CM0800,SA0800,Dustin Cox,9.21,870.46
CM0801,SA0801,Randy Johnson,8.56,456.65
CM0802,SA0802,Sandra Peterson,9.05,2808.44
CM0803,SA0803,Edward Gonzalez,8.79,182.7
CM0804,SA0804,Richard Mathews,1.84,218.03
CM0805,SA0805,Rachel Martin,7.46,301.57
CM0806,SA0806,Becky Reynolds,8.63,1131.68
CM0807,SA0807,Rachel Wang,4.89,42.4
CM0808,SA0808,Robert Sharp,4.17,487.52
CM0809,SA0809,Stephanie Simmons,6.22,2093.76
CM0810,SA0810,Michael Lee,6.48,884.39
CM0811,SA0811,Victoria Acosta,1.83,373.13
CM0812,SA0812,Kristy Bryant,6.45,1698.7
CM0813,SA0813,Jeffrey Soto,9.8,1193.49
CM0814,SA0814,Jessica Dickerson,5.88,1415.77
CM0815,SA0815,Stacey Ashley,8.04,1602.77
CM0816,SA0816,Richard Mclaughlin,1.74,420.23
CM0817,SA0817,Melanie Bowen,8.45,1435.16
CM0818,SA0818,Bradley Cobb,5.91,506.25
CM0819,SA0819,James Miller,6.39,664.39
CM0820,SA0820,Lance Marsh,1.47,104.41
CM0821,SA0821,Alexis Brown,6.28,479.03
CM0822,SA0822,Dwayne Dixon,6.61,1106.44
CM0823,SA0823,Crystal Diaz,1.96,202.24
CM0824,SA0824,Cody Weaver,9.81,579.37
CM0825,SA0825,Michelle Davis,6.67,357.17
CM0826,SA0826,Susan Young,6.43,1249.4
CM0827,SA0827,Misty Jenkins,9.87,450.74
CM0828,SA0828,Robin Lowery,3.61,298.75
CM0829,SA0829,Victoria Haynes,3.36,204.26
CM0830,SA0830,James Sharp,9.82,946.64
CM0831,SA0831,Amanda George MD,7.71,435.25
CM0832,SA0832,Garrett Meyer,8.59,973.57
CM0833,SA0833,Leonard Spence,4.7,602.4
CM0834,SA0834,Richard Jackson,8.13,605.36
CM0835,SA0835,Ryan Crane,5.48,1477.12
CM0836,SA0836,Joshua Wall,4.63,447.98
CM0837,SA0837,Caitlin Jennings,7.03,642.48
CM0838,SA0838,Jeff Mcdaniel,8.62,625.54
CM0839,SA0839,Sara Zavala,9.51,543.31
CM0840,SA0840,Brandon Warren,8.77,1846.13
CM0841,SA0841,Mr. Andrew Campbell MD,9.1,1315.52
CM0842,SA0842,Craig Farmer,3.51,274.2
CM0843,SA0843,Rachel Brown,3.96,569.16
CM0844,SA0844,Julie Carlson,6.22,409.21
CM0845,SA0845,Todd Smith,9.05,1425.7
CM0846,SA0846,Whitney Bowman,2.85,319.25
CM0847,SA0847,Albert Simmons,7.23,1123.37
CM0848,SA0848,Lisa Morrison,8.23,469.28
CM0849,SA0849,Jennifer Moore,3.46,1125.53
CM0850,SA0850,Casey Diaz,1.39,114.24
CM0851,SA0851,Debra Henry,4.82,1022.45
CM0852,SA0852,Michael Taylor,6.92,883.15
CM0853,SA0853,Jesse Morgan,2.74,170.26
CM0854,SA0854,Elizabeth Fowler,9.22,379.78
CM0855,SA0855,Anthony Taylor,4.75,200.69
CM0856,SA0856,Jennifer French,7.17,1261.0
CM0857,SA0857,Kelly Taylor,5.89,976.55
CM0858,SA0858,Grant Ponce,8.27,155.63
CM0859,SA0859,Lance Lewis,7.99,1733.76
CM0860,SA0860,Michelle Russell,1.52,132.18
CM0861,SA0861,Jessica Reynolds,2.73,281.36
CM0862,SA0862,Juan Kaiser,3.29,43.97
CM0863,SA0863,Mrs. Kayla Combs,2.92,291.35
CM0864,SA0864,William King,9.34,1698.56
CM0865,SA0865,Caitlin Lewis,4.45,588.23
CM0866,SA0866,Joel Wright,6.26,1036.98
CM0867,SA0867,Emily Henry,1.8,313.75
CM0868,SA0868,Daniel Keller,6.71,60.63
CM0869,SA0869,Ashley Hood,6.75,705.45
CM0870,SA0870,Jonathan Ramirez,3.6,375.93
CM0871,SA0871,Brandon Russell,8.86,1397.68
CM0872,SA0872,Joyce Garner,8.15,1130.39
CM0873,SA0873,Natalie Jackson,9.5,2250.46
CM0874,SA0874,Phillip Wiggins,8.93,1264.34
CM0875,SA0875,Jonathon Palmer,1.53,452.19
CM0876,SA0876,Joseph Smith,5.96,966.75
CM0877,SA0877,Corey Green,7.2,2223.22
CM0878,SA0878,Gregory Nguyen,6.89,271.8
CM0879,SA0879,Melissa Johnson,9.92,1019.46
CM0880,SA0880,Ronald Fisher,6.1,1241.15
CM0881,SA0881,James Bruce,7.59,617.66
CM0882,SA0882,Vincent Mckinney,7.15,1056.33
CM0883,SA0883,Robert Norman,1.71,42.88
CM0884,SA0884,James Cook,7.83,392.02
CM0885,SA0885,Dr. Charles Smith,5.24,896.57
CM0886,SA0886,Patricia Holmes,1.39,36.82
CM0887,SA0887,Stephen Pearson,5.6,702.55
CM0888,SA0888,Theresa Thompson,9.72,2012.04
CM0889,SA0889,Crystal Perez,5.14,796.36
CM0890,SA0890,John Le,1.02,93.7
CM0891,SA0891,Brian Garcia,1.21,183.46
CM0892,SA0892,Russell Pearson,3.63,556.76
CM0893,SA0893,Paul Thompson,2.25,101.12
CM0894,SA0894,Michele Gonzalez,2.76,102.23
CM0895,SA0895,Kathy Hernandez,6.23,793.7
CM0896,SA0896,Michael Miller,6.83,889.94
CM0897,SA0897,Barbara Nelson,7.87,124.84
CM0898,SA0898,Robert Myers,9.3,1047.08
CM0899,SA0899,Robert Gray,3.26,340.25
CM0900,SA0900,Cheryl Torres,2.67,374.44
CM0901,SA0901,Monique Swanson,6.09,1559.84
CM0902,SA0902,Wesley King,3.08,816.71
CM0903,SA0903,Joseph Smith,7.33,1157.7
CM0904,SA0904,Gregory Eaton,9.68,1616.27
CM0905,SA0905,Kristen Williams,4.5,898.09
CM0906,SA0906,William Yu,5.06,194.69
CM0907,SA0907,Alyssa Morris,9.32,2053.55
CM0908,SA0908,Shannon Johnson,4.7,384.43
CM0909,SA0909,Christopher Cook,6.29,1352.42
CM0910,SA0910,Zachary Jenkins,2.77,58.41
CM0911,SA0911,Stephen Davis,8.25,359.21
CM0912,SA0912,Danielle Smith,9.05,1053.8
CM0913,SA0913,Kathleen Haas,8.41,764.27
CM0914,SA0914,Rhonda Potts,1.49,436.37
CM0915,SA0915,Jimmy Camacho,2.56,238.13
CM0916,SA0916,Joseph Ellis,9.53,787.42
CM0917,SA0917,Ross Weeks,3.13,93.97
CM0918,SA0918,Donald Woods,6.61,348.13
CM0919,SA0919,Derek Webster,6.95,1694.83
CM0920,SA0920,James Ramirez,4.02,616.43
CM0921,SA0921,Brandi Lopez,1.03,61.23
CM0922,SA0922,Ashley Ryan,2.5,77.46
CM0923,SA0923,Mark Richardson,6.46,417.89
CM0924,SA0924,Samantha Houston,6.38,749.09
CM0925,SA0925,John Holder,8.88,1316.8
CM0926,SA0926,Julie Gomez,6.37,15.2
CM0927,SA0927,Anthony Golden,8.04,1430.77
CM0928,SA0928,Jeffrey Porter,8.38,409.75
CM0929,SA0929,Natalie Garcia,8.16,298.25
CM0930,SA0930,Joshua Flores,9.75,413.58
CM0931,SA0931,Amanda Rose DDS,4.36,297.13
CM0932,SA0932,Christopher Brady,2.26,435.38
CM0933,SA0933,Candace Booker,5.6,447.06
CM0934,SA0934,Justin Hall,4.95,1432.81
CM0935,SA0935,Abigail Cortez,2.84,137.26
CM0936,SA0936,Andrea Duarte,5.46,541.58
CM0937,SA0937,James Yang,9.71,553.56
CM0938,SA0938,Kyle Nguyen,5.07,753.54
CM0939,SA0939,Thomas Young,7.18,680.27
CM0940,SA0940,Alicia Houston,5.98,1284.55
CM0941,SA0941,William Munoz,5.53,1462.6
CM0942,SA0942,Tammy Ingram,7.59,1051.74
CM0943,SA0943,Haley Wright,5.95,22.1
CM0944,SA0944,Kimberly Lopez,3.99,700.13
CM0945,SA0945,Sandra Callahan,6.9,1393.6
CM0946,SA0946,Kevin Robertson,2.66,45.32
CM0947,SA0947,Marissa Sullivan,9.67,708.93
CM0948,SA0948,Stacey Black,3.3,166.83
CM0949,SA0949,Jacqueline Burton,4.19,1094.33
CM0950,SA0950,Nicole Boyle,4.33,165.19
CM0951,SA0951,Mary Anderson,5.01,298.7
CM0952,SA0952,Tina Medina,1.79,198.7
CM0953,SA0953,Alexandria Davis,4.92,443.25
CM0954,SA0954,Alyssa Adams,6.86,1203.37
CM0955,SA0955,Sarah Myers,6.85,927.56
CM0956,SA0956,Melissa Oconnell,7.62,1913.18
CM0957,SA0957,Alexander Bradford,3.0,122.62
CM0958,SA0958,Alfred Baker,8.72,1222.05
CM0959,SA0959,Brianna Schneider,2.68,431.82
CM0960,SA0960,Krystal Johnson,9.35,239.78
CM0961,SA0961,Amy Willis,3.57,685.17
CM0962,SA0962,Victoria Abbott,8.62,806.22
CM0963,SA0963,Anthony Thompson,8.63,1036.74
CM0964,SA0964,David Martinez,7.09,833.84
CM0965,SA0965,Donald Finley,5.68,991.52
CM0966,SA0966,Jillian Willis,1.28,89.2
CM0967,SA0967,Carol Williams,9.72,322.99
CM0968,SA0968,Mr. James Williams,1.59,320.92
CM0969,SA0969,Alexis Benson,6.7,102.02
CM0970,SA0970,Jennifer Davis,7.45,487.8
CM0971,SA0971,Gloria Sanchez,8.44,1949.55
CM0972,SA0972,Scott Mcintyre,8.3,1131.74
CM0973,SA0973,Peter Jones,3.95,147.38
CM0974,SA0974,Dustin Morton,1.42,107.96
CM0975,SA0975,Damon Estrada,4.45,54.94
CM0976,SA0976,Michele Rodriguez,8.52,1061.19
CM0977,SA0977,Bonnie Ramos,9.62,578.8
CM0978,SA0978,Laura Wilcox,5.8,254.72
CM0979,SA0979,Michael Fowler,1.39,127.87
CM0980,SA0980,Michael Choi,8.35,1381.14
CM0981,SA0981,Susan Green,2.94,26.11
CM0982,SA0982,Chad Stein,3.67,540.05
CM0983,SA0983,Robert Cummings,8.81,74.13
CM0984,SA0984,Matthew Hudson,6.79,1630.4
CM0985,SA0985,Pamela Richardson,5.07,143.38
CM0986,SA0986,Keith Jones,3.23,167.29
CM0987,SA0987,Mrs. Lisa Wiley,3.8,1204.9
CM0988,SA0988,Erica Carr,9.66,889.53
CM0989,SA0989,Brittany Smith,4.9,278.65
CM0990,SA0990,Donna Patterson,9.6,1245.9
CM0991,SA0991,Ryan Townsend MD,1.43,257.18
CM0992,SA0992,Shari Montgomery,6.69,837.27
CM0993,SA0993,Randall Johnson,9.08,280.6
CM0994,SA0994,Bobby Adams,5.86,901.22
CM0995,SA0995,Todd Torres,6.24,750.6
CM0996,SA0996,Rebekah Mora,5.65,20.51
CM0997,SA0997,Yolanda Sanchez,2.36,273.6
CM0998,SA0998,Francisco Richards,6.84,1354.74
CM0999,SA0999,Michele Fritz,5.68,361.5
CM1000,SA1000,Kari Lewis,6.96,401.6
